gvkey,fs_month
1294,A-Mar
1295,A-Mar
1296,A-Mar
1297,A-Dec
1299,A-Jun
1300,A-Dec
1302,A-Jun
1304,A-Dec
1305,A-Dec
1306,A-Dec
1307,A-Dec
1308,A-Dec
1310,A-Dec
1312,A-Aug
1314,A-Jun
1315,A-Jun
1316,A-Dec
1318,A-Dec
1319,A-Apr
1322,A-Dec
1324,A-Mar
1325,A-Dec
1326,A-Dec
1328,A-May
1329,A-Dec
1333,A-Sep
1335,A-Dec
1336,A-Dec
1337,A-Dec
1338,A-Jun
1341,A-Dec
1342,A-Jul
1343,A-Aug
1344,A-Sep
1345,A-Apr
1346,A-Dec
1347,A-Sep
1348,A-Jan
1350,A-Jun
1351,A-Dec
1356,A-Dec
1357,A-Dec
1358,A-Mar
1359,A-Dec
1361,A-Oct
1364,A-Apr
1365,A-Dec
1366,A-Dec
1368,A-Dec
1369,A-Jan
1370,A-Jun
1372,A-Aug
1374,A-Jun
1375,A-Sep
1377,A-Dec
1378,A-Sep
1379,A-Dec
1380,A-Dec
1381,A-Jun
1382,A-Dec
1384,A-Mar
1385,A-Dec
1387,A-Oct
1388,A-Dec
1390,A-Mar
1391,A-Dec
1392,A-Dec
1393,A-Mar
1394,A-Dec
1397,A-Dec
1403,A-Dec
1408,A-Dec
1409,A-Dec
1410,A-Oct
1411,A-Dec
1412,A-Jun
1413,A-Mar
1414,A-Dec
1415,A-Aug
1416,A-Dec
1417,A-Jun
1418,A-Dec
1419,A-Jun
1420,A-Dec
1421,A-Dec
1422,A-Sep
1423,A-Jun
1425,A-Dec
1426,A-Dec
1427,A-Dec
1429,A-Aug
1430,A-Dec
1431,A-Jan
1432,A-Jun
1434,A-Dec
1437,A-Dec
1439,A-Dec
1440,A-Dec
1442,A-Jun
1443,A-Apr
1445,A-Dec
1446,A-Dec
1447,A-Dec
1448,A-Dec
1449,A-Dec
1450,A-Dec
1451,A-Dec
1452,A-Jun
1453,A-May
1454,A-Dec
1455,A-Dec
1456,A-Dec
1458,A-Dec
1462,A-Dec
1463,A-Nov
1464,A-Oct
1465,A-Dec
1466,A-Nov
1467,A-Jun
1468,A-Feb
1470,A-Dec
