,gvkey,datadate,fyearq,fqtr,tic,cusip,conm,curcdq,datacqtr,datafqtr,dlttq,oiadpq,pstkq,exchg,costat,mkvaltq
797450,25056,1990-09-30,1991,1,TWX,887317303,TIME WARNER INC,USD,1990Q3,1991Q1,,,,11.0,I,
797451,25056,1990-12-31,1991,2,TWX,887317303,TIME WARNER INC,USD,1990Q4,1991Q2,,0.057,,11.0,I,
797452,25056,1991-03-31,1991,3,TWX,887317303,TIME WARNER INC,USD,1991Q1,1991Q3,,0.634,,11.0,I,
797453,25056,1991-06-30,1991,4,TWX,887317303,TIME WARNER INC,USD,1991Q2,1991Q4,0.179,0.78,12.534,11.0,I,
797454,25056,1991-09-30,1992,1,TWX,887317303,TIME WARNER INC,USD,1991Q3,1992Q1,,0.872,,11.0,I,
797455,25056,1991-12-31,1992,2,TWX,887317303,TIME WARNER INC,USD,1991Q4,1992Q2,0.084,0.637,17.5,11.0,I,
797456,25056,1992-03-31,1992,3,TWX,887317303,TIME WARNER INC,USD,1992Q1,1992Q3,0.035,0.863,0.0,11.0,I,
797457,25056,1992-06-30,1992,4,TWX,887317303,TIME WARNER INC,USD,1992Q2,1992Q4,0.0,0.961,0.0,11.0,I,
797458,25056,1992-09-30,1993,1,TWX,887317303,TIME WARNER INC,USD,1992Q3,1993Q1,0.0,1.003,0.0,11.0,I,
797459,25056,1992-12-31,1993,2,TWX,887317303,TIME WARNER INC,USD,1992Q4,1993Q2,0.0,1.14,0.0,11.0,I,
797460,25056,1993-03-31,1993,3,TWX,887317303,TIME WARNER INC,USD,1993Q1,1993Q3,0.0,1.288,0.0,11.0,I,
797461,25056,1993-06-30,1993,4,TWX,887317303,TIME WARNER INC,USD,1993Q2,1993Q4,0.0,1.069,0.0,11.0,I,
797462,25056,1993-09-30,1994,1,TWX,887317303,TIME WARNER INC,USD,1993Q3,1994Q1,6.025,0.531,0.0,11.0,I,
797463,25056,1993-12-31,1994,2,TWX,887317303,TIME WARNER INC,USD,1993Q4,1994Q2,5.962,0.52,0.0,11.0,I,
797464,25056,1994-03-31,1994,3,TWX,887317303,TIME WARNER INC,USD,1994Q1,1994Q3,5.899,1.931,0.0,11.0,I,
797465,25056,1994-06-30,1994,4,TWX,887317303,TIME WARNER INC,USD,1994Q2,1994Q4,5.836,1.626,0.0,11.0,I,
797466,25056,1994-09-30,1995,1,TWX,887317303,TIME WARNER INC,USD,1994Q3,1995Q1,6.898,4.623,0.0,11.0,I,
797467,25056,1994-12-31,1995,2,TWX,887317303,TIME WARNER INC,USD,1994Q4,1995Q2,6.783,6.482,0.0,11.0,I,
797468,25056,1995-03-31,1995,3,TWX,887317303,TIME WARNER INC,USD,1995Q1,1995Q3,19.727,7.606,0.0,11.0,I,
797469,25056,1995-06-30,1995,4,TWX,887317303,TIME WARNER INC,USD,1995Q2,1995Q4,19.496,10.175,0.0,11.0,I,
797470,25056,1995-09-30,1996,1,TWX,887317303,TIME WARNER INC,USD,1995Q3,1996Q1,18.98,10.178,0.0,11.0,I,
797471,25056,1995-12-31,1996,2,TWX,887317303,TIME WARNER INC,USD,1995Q4,1996Q2,18.535,14.994,0.0,11.0,I,
797472,25056,1996-03-31,1996,3,TWX,887317303,TIME WARNER INC,USD,1996Q1,1996Q3,21.159,24.72,0.0,11.0,I,
797473,25056,1996-06-30,1996,4,TWX,887317303,TIME WARNER INC,USD,1996Q2,1996Q4,19.306,32.332,0.001,11.0,I,
797474,25056,1996-09-30,1997,1,TWX,887317303,TIME WARNER INC,USD,1996Q3,1997Q1,19.051,29.077,0.001,11.0,I,
797475,25056,1996-12-31,1997,2,TWX,887317303,TIME WARNER INC,USD,1996Q4,1997Q2,18.794,-54.811,0.001,11.0,I,
797476,25056,1997-03-31,1997,3,TWX,887317303,TIME WARNER INC,USD,1997Q1,1997Q3,18.531,-6.811,0.001,11.0,I,
797477,25056,1997-06-30,1997,4,TWX,887317303,TIME WARNER INC,USD,1997Q2,1997Q4,50.0,9.457,0.001,11.0,I,
797478,25056,1997-09-30,1998,1,TWX,887317303,TIME WARNER INC,USD,1997Q3,1998Q1,77.358,25.0,0.001,11.0,I,
797479,25056,1997-12-31,1998,2,TWX,887317303,TIME WARNER INC,USD,1997Q4,1998Q2,371.391,-12.0,0.001,11.0,I,
797480,25056,1998-03-31,1998,3,TWX,887317303,TIME WARNER INC,USD,1998Q1,1998Q3,374.773,-24.0,0.001,11.0,I,
797481,25056,1998-06-30,1998,4,TWX,887317303,TIME WARNER INC,USD,1998Q2,1998Q4,372.0,77.0,0.0,11.0,I,
797482,25056,1998-09-30,1999,1,TWX,887317303,TIME WARNER INC,USD,1998Q3,1999Q1,375.0,77.0,0.0,11.0,I,
797483,25056,1998-12-31,1999,2,TWX,887317303,TIME WARNER INC,USD,1998Q4,1999Q2,400.0,125.0,0.0,11.0,I,
797484,25056,1999-03-31,1999,3,TWX,887317303,TIME WARNER INC,USD,1999Q1,1999Q3,369.0,150.0,0.0,11.0,I,
797485,25056,1999-06-30,1999,4,TWX,887317303,TIME WARNER INC,USD,1999Q2,1999Q4,348.0,226.0,0.0,11.0,I,
797486,25056,1999-09-30,2000,1,TWX,887317303,TIME WARNER INC,USD,1999Q3,2000Q1,341.0,265.0,0.0,11.0,I,
797487,25056,1999-12-31,2000,2,TWX,887317303,TIME WARNER INC,USD,1999Q4,2000Q2,1581.0,349.0,0.0,11.0,I,
797488,25056,2000-03-31,2000,3,TWX,887317303,TIME WARNER INC,USD,2000Q1,2000Q3,1622.0,333.0,0.0,11.0,I,
797489,25056,2000-06-30,2000,4,TWX,887317303,TIME WARNER INC,USD,2000Q2,2000Q4,1630.0,466.0,0.0,11.0,I,
797490,25056,2001-03-31,2001,1,TWX,887317303,TIME WARNER INC,USD,2001Q1,2001Q1,20176.0,-76.0,0.0,11.0,I,
797491,25056,2001-06-30,2001,2,TWX,887317303,TIME WARNER INC,USD,2001Q2,2001Q2,20457.0,120.0,0.0,11.0,I,
797492,25056,2001-09-30,2001,3,TWX,887317303,TIME WARNER INC,USD,2001Q3,2001Q3,20725.0,87.0,0.0,11.0,I,
797493,25056,2001-12-31,2001,4,TWX,887317303,TIME WARNER INC,USD,2001Q4,2001Q4,22792.0,237.0,0.0,11.0,I,
797494,25056,2002-03-31,2002,1,TWX,887317303,TIME WARNER INC,USD,2002Q1,2002Q1,28380.0,1164.0,0.0,11.0,I,
797495,25056,2002-06-30,2002,2,TWX,887317303,TIME WARNER INC,USD,2002Q2,2002Q2,27935.0,1520.0,0.0,11.0,I,
797496,25056,2002-09-30,2002,3,TWX,887317303,TIME WARNER INC,USD,2002Q3,2002Q3,28244.0,1392.0,0.0,11.0,I,
797497,25056,2002-12-31,2002,4,TWX,887317303,TIME WARNER INC,USD,2002Q4,2002Q4,27354.0,1922.0,0.0,11.0,I,
797498,25056,2003-03-31,2003,1,TWX,887317303,TIME WARNER INC,USD,2003Q1,2003Q1,29440.0,,1500.0,11.0,I,
797499,25056,2003-06-30,2003,2,TWX,887317303,TIME WARNER INC,USD,2003Q2,2003Q2,25898.0,2651.0,1500.0,11.0,I,
797500,25056,2003-09-30,2003,3,TWX,887317303,TIME WARNER INC,USD,2003Q3,2003Q3,26629.0,1460.0,0.0,11.0,I,
797501,25056,2003-12-31,2003,4,TWX,887317303,TIME WARNER INC,USD,2003Q4,2003Q4,24958.0,1667.0,0.0,11.0,I,
797502,25056,2004-03-31,2004,1,TWX,887317303,TIME WARNER INC,USD,2004Q1,2004Q1,24416.0,1668.0,0.0,11.0,I,
797503,25056,2004-06-30,2004,2,TWX,887317303,TIME WARNER INC,USD,2004Q2,2004Q2,22651.0,1860.0,0.0,11.0,I,
797504,25056,2004-09-30,2004,3,TWX,887317303,TIME WARNER INC,USD,2004Q3,2004Q3,22341.0,1581.0,0.0,11.0,I,
797505,25056,2004-12-31,2004,4,TWX,887317303,TIME WARNER INC,USD,2004Q4,2004Q4,22203.0,1658.0,0.0,11.0,I,
797506,25056,2005-03-31,2005,1,TWX,887317303,TIME WARNER INC,USD,2005Q1,2005Q1,20466.0,1721.0,0.0,11.0,I,
797507,25056,2005-06-30,2005,2,TWX,887317303,TIME WARNER INC,USD,2005Q2,2005Q2,19361.0,1610.0,0.0,11.0,I,
797508,25056,2005-09-30,2005,3,TWX,887317303,TIME WARNER INC,USD,2005Q3,2005Q3,18739.0,1670.0,0.0,11.0,I,
797509,25056,2005-12-31,2005,4,TWX,887317303,TIME WARNER INC,USD,2005Q4,2005Q4,20238.0,1966.0,0.0,11.0,I,
797510,25056,2006-03-31,2006,1,TWX,887317303,TIME WARNER INC,USD,2006Q1,2006Q1,20031.0,1863.0,0.0,11.0,I,73415.954
797511,25056,2006-06-30,2006,2,TWX,887317303,TIME WARNER INC,USD,2006Q2,2006Q2,23396.0,1872.0,0.0,11.0,I,70628.98
797512,25056,2006-09-30,2006,3,TWX,887317303,TIME WARNER INC,USD,2006Q3,2006Q3,33555.0,1949.0,0.0,11.0,I,72958.283
797513,25056,2006-12-31,2006,4,TWX,887317303,TIME WARNER INC,USD,2006Q4,2006Q4,35233.0,2139.0,0.0,11.0,I,84558.672
797514,25056,2007-03-31,2007,1,TWX,887317303,TIME WARNER INC,USD,2007Q1,2007Q1,35280.0,2102.0,0.0,11.0,I,75050.376
797515,25056,2007-06-30,2007,2,TWX,887317303,TIME WARNER INC,USD,2007Q2,2007Q2,36123.0,2008.0,0.0,11.0,I,78416.08
797516,25056,2007-09-30,2007,3,TWX,887317303,TIME WARNER INC,USD,2007Q3,2007Q3,37356.0,2141.0,0.0,11.0,I,66573.36
797517,25056,2007-12-31,2007,4,TWX,887317303,TIME WARNER INC,USD,2007Q4,2007Q4,37304.0,2478.0,0.0,11.0,I,59320.43
797518,25056,2008-03-31,2008,1,TWX,887317303,TIME WARNER INC,USD,2008Q1,2008Q1,36345.0,1457.0,0.0,11.0,I,50163.56
